id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
4002090379,"Renzligenstrasse 3,",6260 Reiden,4.5,89.0,1540,9.5,Apartment,-1,1984,0
4002091636,"Moosstrasse 25,",6033 Buchrain,4.5,106.0,1995,7.5,Apartment,-1,1992,0
4002093555,"Bergstrasse 6,",6242 Wauwil,4.5,95.0,1690,5.0,Apartment,-1,1919,0
4002113570,"Hitzkircherstrasse 6,",6284 Hitzkirch,4.5,120.0,2710,10.67,Apartment,-1,-1,1
4002115426,"Gässlistrasse 4,",6260 Reiden,3.5,90.0,2290,3.67,Attic flat,-1,2014,1
4002117881,"Feldbreite Emmen,",6032 Emmen,4.5,132.0,2595,-1,Apartment,-1,2017,1
4002117956,"Sonnmatte 4,",6146 Grossdietwil,4.5,105.0,1836,4.5,Apartment,-1,2020,1
4002120236,"Am Mattenhof 5,",6010 Kriens,2.5,54.0,1930,4.75,Apartment,-1,2025,1
4002120238,"Am Mattenhof 5,",6010 Kriens,4.5,100.0,2940,4.75,Apartment,-1,2025,1
4002120392,"Murbacherst.16/Winkelriedst.31,",6003 Luzern,2.5,65.0,2201,2.5,Maisonette / Duplex,2024,1988,1
4002129404,"Kirchstrasse 13,",6146 Grossdietwil,4.0,90.0,1366,9.33,Apartment,2008,1971,1
4002129938,"Luzernstrasse 36C,",6208 Oberkirch LU,3.5,86.0,2033,10.0,Apartment,-1,-1,1
4002131727,"Surseestrasse 33,",6206 Neuenkirch,2.5,-1,1350,7.33,Apartment,-1,-1,0
4002131965,"Surseestrasse 33,",6206 Neuenkirch,4.0,-1,2000,7.33,Apartment,-1,-1,0
4002131974,"Surseestrasse 33,",6206 Neuenkirch,1.5,-1,1250,7.33,Apartment,-1,-1,0
4002131980,"Surseestrasse 33,",6206 Neuenkirch,2.5,-1,1350,7.33,Apartment,-1,-1,0
4002146352,,,7.5,225.0,3900,-1,Apartment,2023,1883,1
4002154866,"Dorfstrasse 17,",6142 Gettnau,5.5,140.0,2050,6.0,Apartment,-1,1997,1
4002157349,"Dorfstrasse 1,",6044 Udligenswil,4.5,165.0,2900,2.0,Maisonette / Duplex,2025,1995,1
4002157633,,,4.5,80.0,1200,-1,Apartment,1985,1800,0
4002158105,"Birchmatt 4,",4915 St. Urban,7.5,164.0,2800,4.5,Apartment,-1,1981,1
4002162697,"Altweg 5 (Haus B),",6264 Pfaffnau,5.5,152.0,-1,6.0,Apartment,-1,-1,1
4002162698,"Altweg 3 (Haus A),",6264 Pfaffnau,2.5,68.0,1480,6.33,Apartment,-1,-1,1
4002168991,"Seidenhofstrasse 1,",6003 Luzern,3.5,79.0,2890,2.75,Apartment,-1,1940,0
4002168994,"Seidenhofstrasse 1,",6003 Luzern,1.5,74.0,2950,2.75,Loft,-1,1940,0
4002168995,"Seidenhofstrasse 1,",6003 Luzern,1.5,67.0,2490,2.75,Loft,-1,1940,0
4002168997,"Seidenhofstrasse 1,",6003 Luzern,1.5,67.0,2490,2.75,Loft,-1,1940,0
4002168999,"Seidenhofstrasse 1,",6003 Luzern,1.5,67.0,2550,2.75,Loft,-1,1940,0
4002169001,"Seidenhofstrasse 1,",6003 Luzern,1.5,67.0,2490,2.75,Loft,-1,1940,0
4002169003,"Seidenhofstrasse 1,",6003 Luzern,3.5,83.0,3390,3.0,Maisonette / Duplex,-1,1940,0
4002169004,"Seidenhofstrasse 1,",6003 Luzern,3.5,87.0,3490,2.75,Maisonette / Duplex,-1,1940,0
4002169009,"Hirschengraben 7,",6003 Luzern,2.5,69.0,2340,2.75,Apartment,2025,1956,0
4002169012,"Hirschengraben 7,",6003 Luzern,2.5,69.0,2390,2.75,Apartment,2025,1956,0
4002169013,"Hirschengraben 7,",6003 Luzern,2.5,74.0,2680,2.75,Apartment,2025,1956,0
