id,street,city_postal,rooms,living_space,price,avg_travel_time,type,last_refurbishment,year_built,balcony_or_terrace
4001861976,"Chrischonarain 141,",4126 Bettingen,5.5,133.0,3509,4.5,Apartment,-1,2021,1
4001866896,"Rümelinbachweg 15,",4054 Basel,3.5,83.0,2070,6.0,Apartment,-1,-1,1
4001872006,"Flachsländerstrasse 7,",4057 Basel,2.5,60.0,1650,3.0,Apartment,-1,-1,0
4001877442,"Klybeckstrasse 190,",4057 Basel,2.5,45.0,1800,3.25,Apartment,-1,-1,0
4001879966,"Hirschgässlein 19,",4051 Basel,-1,-1,206,2.5,Maisonette / Duplex,-1,-1,0
4001886243,"Martinskirchplatz 15,",4051 Basel,5.5,240.0,4750,3.0,Maisonette / Duplex,-1,-1,0
4001886257,"Giessliweg 62,",4057 Basel,3.5,71.0,2140,4.5,Apartment,-1,2022,1
4001890719,"Feldbergstrasse 3,",4057 Basel,3.5,86.0,1940,5.0,Apartment,2019,1971,0
4001890722,"Belchenstrasse 18,",4054 Basel,3.5,90.0,2450,5.0,Apartment,-1,-1,1
4001890726,"Im Hirshalm 54,",4125 Riehen,3.0,76.0,1760,4.5,Apartment,-1,-1,1
4001890727,"Helvetierstr. 29,",4125 Riehen,3.0,76.0,1740,4.0,Apartment,-1,-1,1
4001890781,"Gundeldingerstrasse 170,",4053 Basel,4.0,133.0,2840,6.25,Roof flat,-1,1918,0
4001890794,"Herrengrabenweg 64,",4054 Basel,2.5,58.0,1640,4.25,Apartment,-1,1979,1
4001903453,"Margarethenstrasse 59,",4053 Basel,3.5,82.0,1870,2.5,Apartment,-1,1963,1
4001909109,"Bartenheimerstrasse,",4055 Basel,1.0,15.0,970,4.25,Single Room,-1,-1,1
4001910869,"Klybeckstrasse 190,",4057 Basel,1.5,28.0,1047,4.25,Apartment,-1,-1,0
4001919606,"Burgunderstrasse 13a,",4051 Basel,5.0,175.0,5550,5.75,Loft,2010,1890,1
